100 Mest brukte verb,Oversettelse
Essere,Å være
Avere,Å ha
Volere,Å ville
Fare,Å gjøre
Dire,Å si
Capire,Å forstå
Sapere,Å vite
Spiegare,Å forklare
Uscire,Å gå ut
Andare,Å gå/dra
Venire,Å komme
Potere,Å kunne
Dovere,Å måtte
Preferire,Å foretrekke
Bere,Å drikke
Salire,Å gå opp
Rimanere,Å bli (være igjen)
Morire,Å dø
Finire,Å avslutte
Vedere,Å se
Leggere,Å lese
Nascere,Å bli født
Chiedere,Å spørre
Rispondere,Å svare
Conoscere,Å kjenne (være kjent med)
Mettere,Å legge/putte
Aprire,Å åpne
Perdere,Å miste/tape
Vivere,Å leve
Cuocere,Å koke/steke
Scendere,Å gå ned
Scrivere,Å skrive
Prendere,Å ta
Rompere,Å knuse/ødelegge
Correre,Å løpe
Vincere,Å vinne
Tradurre,Å oversette
Chiudere,Å lukke
Accendere,Å slå på
Crescere,Å vokse opp
Spingere,Å dytte
Scusarsi,Å unnskylde seg
Chiamarsi,Å hete/kalles
Divertirsi,Å ha det gøy
Abituarsi,Å venne seg til
Comportarsi,Å oppføre seg
Piacere,Å like
Dispiacere,Å være lei seg/beklage
Mancare,Å savne
Interessare,Å interessere
Sembrare,Å virke/synes
Amare,Å elske
Mangiare,Å spise
Ascoltare,Å lytte
Parlare,Å snakke
Ordinare,Å bestille
Cercare,Å lete etter
Pensare,Å tenke
Incontrare,Å møte
Portare,Å ta med/bære
Toccare,Å ta på
Guardare,Å se på
Tornare,Å vende tilbake
Trovare,Å finne
Dare,Å gi
Abitare,Å bo
Sperare,Å håpe
Aspettare,Å vente
Pranzare,Å spise lunsj
Cenare,Å spise middag
Telefonare,Å ringe
Comprare,Å kjøpe
Pagare,Å betale
Entrare,Å gå inn
Lavorare,Å arbeide
Studiare,Å studere
Mandare,Å sende
Lasciare,Å forlate/la være
Salutare,Å hilse
Usare,Å bruke
Visitare,Å besøke
Camminare,Å gå
Iniziare,Å begynne
Imparare,Å lære
Cambiare,Å forandre
Guadagnare,Å tjene
Aiutare,Å hjelpe
Ricordare,Å huske
Tirare,Å dra/trekke
Invitare,Å invitere
Diventare,Å bli (noe)
Giocare,Å leke/spille
Credere,Å tro
Vendere,Å selge
Ripetere,Å gjenta
Godere,Å nyte
Dormire,Å sove
Servire,Å trenge
Partire,Å dra/reise
Pulire,Å rengjøre